Name,ORCID,Status,Notes
Sai Campbell,0000-0001-5231-0869,Verified,DPhil Student
Sander Wagner,0000-0002-1294-1612,Verified,Research Associate
Sir David Hendry,0000-0002-8013-576X,Verified,Associate Member
Stefania Benonisdottir,0000-0001-5019-514X,Verified,Postdoctoral Researcher
Thomas Rawson,0000-0001-8182-4279,Verified,Senior Researcher
Ursula Gazeley,0000-0003-3309-7411,Verified,Postdoctoral Researcher
Valentina Rotondi,0000-0003-0879-7635,Verified,Affiliate Member
Vincent Straub,0000-0003-3393-6027,Verified,DPhil Student
Wen Su,0000-0001-9972-1665,Verified,Postdoctoral Researcher
Xuejie Ding,0000-0002-0280-8463,Verified,Alumni (Berlin)
Edith Darin,0000-0002-8176-092X,Verified,DPhil Student
